gender,age,occupation,education,income,children,ethnicity,ev_owner,ev_count,ev_motivation,ev_type,ev_model,ev_range,ev_experience,public_charging_frequency,charger_compatibility,home_type,home_charging_method,daily_trips,trip_purpose,parking_location,parking_duration,daily_distance,max_wait_time,preferred_charge_time,location_flexibility,weekly_charge_frequency,avg_charge_duration,info_preference,walking_distance,ac_vs_dc_preference,charger_choice_reason,travel_to_charger,satisfaction_score,memorable_experience,difficulty_finding_station,accessibility_importance,station_choice_factors,improvement_suggestions,facility_improvement_ideas,statements_agreement,user_involvement_belief,charging_effect_on_time,recharge_threshold,future_features,long_trip_planning,newcastle_distribution_rating,parking_habits_effect,parking_convenience,pc
Female,25-34,Employed,Doctorate or higher,"£50,001 - £70,000",No children aged 18 or under,Asian / Asian British,Yes,1,Environmental concerns,Battery EV (exclusively powered by a rechargeable battery),Tesla Model 3,More than 500 km,Less than 6 months,Rarely,Not sure,Single family house/townhouse with dedicated parking,Standard wall electrical outlet (Level 1),1 to 2,"Work/School, Leisure, Returning Home",Home,More than 8 hours,30km to 50km,< 10 minutes.,6am to 12pm,Somewhat flexible (can be a minor detour),5 to 6 times,3 to 6 hours,Mobile app,Less than 1km,DC Charger,Cost.,Less than 1km,3.0,,No,5.0,"Proximity to my destination, Availability of fast charging, Cost of charging",,Increase the number of charging stations,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Yes,Slightly increases travel time.,20% - 40%,,I plan my route entirely around charging stations.,3.0,I have to park further from my destination.,Slightly less convenient,NE38
Female,25-34,Employed,Bachelor's degree,"£35,001 - £50,000",Yes - children aged under 5 years old,Black / African / Caribbean / Black British,Yes,1,Cost savings,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),Toyota Prius,Less than 100 km,6 months - 1 year,Weekly,Not sure,Rental apartment in high-rise building,I do not charge at home,3 to 4,"Leisure, Errands, Returning Home",Home,More than 8 hours,Less than 10km,10 to 20 minutes.,6pm to 12am,Flexible (can be a major detour),1 to 2 times,1 to 3 hours,Mobile app,1km to 2km,DC Charger,Duration of charge.,1km to 3km,5.0,"I remember when I newly bought the car, I wanted to charge my car but was so confused on the plug to use because there were different ones so I had to call my partner to come assist me but unfortunately the station does not even have my type of plug so we had to drive to another station to charge y",Yes,5.0,"Proximity to my destination, Availability of fast charging, User-friendly interface",Availability of al types of plug in same location ,Enhance user experience through better signage and information,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Yes,Reduces travel time significantly.,40% - 60%,Available of information in a plain manner,I plan my route entirely around charging stations.,2.0,I can park closer to my destination.,Slightly more convenient,TS25
Male,25-34,Employed,Bachelor's degree,"£50,001 - £70,000",No children aged 18 or under,White,Yes,1,Government incentives,Battery EV (exclusively powered by a rechargeable battery),Tesla Model 3,300-400 km,6 months - 1 year,Monthly,Supercharger (Tesla),Single family house/townhouse with dedicated parking,Standard wall electrical outlet (Level 1),1 to 2,Leisure,Home,More than 8 hours,10km to 30km,< 10 minutes.,12am to 6am,Somewhat flexible (can be a minor detour),5 to 6 times,3 to 6 hours,Mobile app,Less than 1km,AC Charger,Cost.,More than 9km,4.0,There's a one near me that always seems to be working and no one ever uses it so i feel like its a private one just for me.,No,5.0,"Proximity to my destination, Availability of fast charging, Cost of charging, User-friendly interface, Safety and security of the location, Amenities available nearby (e.g., restrooms, shops), Environmental considerations (e.g., renewable energy sources)",Sometimes location is a factor and how between each one can be.,Provide incentives for EV owners to share private charging stations,It is more convenient to charge my vehicle directly after ending every trip.,Yes,Slightly increases travel time.,20% - 40%,Put them in places where you can do activities or spend time outside of the car,,3.0,I can park closer to my destination.,Slightly more convenient,NE2
Female,25-34,Employed,Master's degree,"£35,001 - £50,000",No children aged 18 or under,White,Yes,1,Environmental concerns,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),Nissan Leaf,100-200 km,Less than 6 months,Weekly,Not sure,Single family house/townhouse with dedicated parking,Standard wall electrical outlet (Level 1),1 to 2,Work/School,Workplace,5 to 8 hours,10km to 30km,10 to 20 minutes.,12am to 6am,Flexible (can be a major detour),5 to 6 times,3 to 6 hours,Online map,1km to 2km,AC Charger,Cost.,3km to 6km,2.0,There was only 1 charging station and 3 cars in line,Yes,5.0,"Proximity to my destination, Cost of charging, Safety and security of the location",Cctv camera usage and more stations ,Increase the number of charging stations,It is more convenient to charge my vehicle only after ending my trips for the day.,Not sure,Slightly increases travel time.,20% - 40%,Instructions and displays to be more visible and available,I choose charging stations that are conveniently located along my preferred route.,2.0,I have to park further from my destination.,Slightly more convenient,DH1
Female,45-54,Employed,Bachelor's degree,"£35,001 - £50,000",No children aged 18 or under,White,Yes,1,Cost savings,,Kia Niro,100-200 km,Less than 6 months,Rarely,Not sure,Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,3 to 4,Work/School,Workplace,5 to 8 hours,10km to 30km,< 10 minutes.,12am to 6am,Somewhat flexible (can be a minor detour),1 to 2 times,More than 6 hours,Mobile app,Less than 1km,DC Charger,Duration of charge.,Less than 1km,2.0,Not working or queues ,Yes,5.0,"Proximity to my destination, Availability of fast charging, Cost of charging",Have more available,Increase the number of charging stations,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Yes,Increases travel time significantly.,20% - 40%,Toilets,I plan my route entirely around charging stations.,2.0,No impact on my parking habits.,Slightly more convenient,DH6
Male,35-44,Unemployed,Some college,"£35,001 - £50,000",No children aged 18 or under,White,Yes,1,Environmental concerns,Battery EV (exclusively powered by a rechargeable battery),Other (please specify),200-300 km,6 months - 1 year,Monthly,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse with dedicated parking,Unsure. It is an ohme 7kw charger,1 to 2,"Leisure, Errands",Home,1 to 3 hours,30km to 50km,10 to 20 minutes.,12am to 6am,Somewhat flexible (can be a minor detour),3 to 4 times,3 to 6 hours,Mobile app,1km to 2km,DC Charger,Duration of charge.,3km to 6km,2.0,Being told it was 35p (stickers on machine) per kwh only to be charged 79p per kwh. Very negative experience. ,Yes,1.0,"Proximity to my destination, Availability of fast charging, Cost of charging, Amenities available nearby (e.g., restrooms, shops)",Being able to access them all from ONE app. I have at least 15 apps on my phone for finding charging stations and charging.,Increase the number of charging stations,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Not sure,Slightly increases travel time.,20% - 40%,All companies cooperate to have an easier login/registration system.,I choose charging stations that are conveniently located along my preferred route.,2.0,I have to park further from my destination.,Slightly less convenient,NE8
Male,35-44,Employed,Master's degree,"£35,001 - £50,000",Yes - children aged under 5 years old,Black / African / Caribbean / Black British,Yes,I LEASE,Technological interest,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),Kia Niro,100-200 km,Less than 6 months,Weekly,CCS (Combined Charging System; or Combo 2; or SAE),"Rental apartment in low-rise building (e.g., duplex, triplex, basement apartment)",I do not charge at home,1 to 2,Work/School,Workplace,3 to 5 hours,10km to 30km,20 to 30 minutes.,12am to 6am,Flexible (can be a major detour),1 to 2 times,1 to 3 hours,Mobile app,Less than 1km,DC Charger,Duration of charge.,1km to 3km,4.0,Helping a fellow EV user take my slot for charging because he was running late for a job interview and then getting his contact which he later reached out to say he got to his destination in the nick of time and also got the job.,No,5.0,"Proximity to my destination, Availability of fast charging, User-friendly interface, Safety and security of the location",More Security and service locations close to charge stations to reduce down time,Improve reliability and maintenance of existing stations,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Yes,Slightly reduces travel time.,40% - 60%,"I love it just as it is, but it should be more affordable so i can own one.",I plan my route entirely around charging stations.,4.0,I can park closer to my destination.,Slightly less convenient,SR4
Male,25-34,Employed,Master's degree,"£50,001 - £70,000",Yes - children aged under 5 years old,White,Yes,1,Government incentives,Battery EV (exclusively powered by a rechargeable battery),Other (please specify),300-400 km,1-3 years,Weekly,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse without dedicated parking,I do not charge at home,1 to 2,"Work/School, Leisure, Errands",Home,More than 8 hours,10km to 30km,< 10 minutes.,6pm to 12am,Somewhat flexible (can be a minor detour),1 to 2 times,Less than 1 hour,Mobile app,Less than 1km,DC Charger,Duration of charge.,3km to 6km,4.0,Despite high rating a specific local charger always charges slower than other slower chargers,Yes,3.0,"Proximity to my destination, Availability of fast charging, Cost of charging",,Increase the number of charging stations,I will wait to charge my vehicle when the cost is at its lowest.,Yes,Slightly increases travel time.,60% - 80%,,I choose charging stations that are conveniently located along my preferred route.,3.0,I have to park further from my destination.,Slightly less convenient,TS8
Male,35-44,Employed,Bachelor's degree,"£20,000 - £35,000",No children aged 18 or under,White,Yes,1,Environmental concerns,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),Volkswagen Golf GTE,100-200 km,1-3 years,Weekly,Not sure,"Rental apartment in low-rise building (e.g., duplex, triplex, basement apartment)",I do not charge at home,1 to 2,Work/School,Home,Less than 1 hour,10km to 30km,10 to 20 minutes.,12pm to 6pm,Not flexible (must be very close to usual routes),1 to 2 times,3 to 6 hours,Mobile app,1km to 2km,AC Charger,Cost.,3km to 6km,1.0,"Only 2 charging stations in the middle of the city, very hard to find anything when shopping at weekend",Yes,4.0,Proximity to my destination,,Increase the number of charging stations,I choose to charge my vehicle regardless of the cost.,Yes,Slightly increases travel time.,20% - 40%,,I choose charging stations that are conveniently located along my preferred route.,2.0,I have to park further from my destination.,Much less convenient,NE3
Female,35-44,Unemployed,Some college,"£20,000 - £35,000",Yes - children aged 5 to 10 years old,White,Yes,1,Environmental concerns,Battery EV (exclusively powered by a rechargeable battery),Other (please specify),100-200 km,Less than 6 months,Rarely,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,1 to 2,"Work/School, Errands",Home,More than 8 hours,10km to 30km,< 10 minutes.,12am to 6am,Not flexible (must be very close to usual routes),3 to 4 times,3 to 6 hours,In-car navigation system,Less than 1km,DC Charger,Duration of charge.,1km to 3km,2.0,Had to 5 different charging points whilst far away for home in search for a fast charging station and our car had very few miles left so we were very stressed ,Yes,5.0,"Proximity to my destination, Availability of fast charging, Amenities available nearby (e.g., restrooms, shops), Environmental considerations (e.g., renewable energy sources)",More rapid charging points and an easier free app that is much more user friendly and simple ,Enhance user experience through better signage and information,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Yes,Slightly increases travel time.,20% - 40%,Not needing to lock car to charge so I can wait in my car. Having a vending machine nearby ,I choose charging stations that are conveniently located along my preferred route.,1.0,I can park closer to my destination.,Much more convenient,NE42
Female,35-44,Employed,Master's degree,"Over £70,000",No children aged 18 or under,White,Yes,1,Environmental concerns,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),BMW i3,100-200 km,1-3 years,Weekly,Not sure,Single family house/townhouse with dedicated parking,I do not charge at home,1 to 2,"Work/School, Leisure, Errands, Returning Home",Home,3 to 5 hours,Less than 10km,10 to 20 minutes.,6am to 12pm,Somewhat flexible (can be a minor detour),1 to 2 times,Less than 1 hour,Mobile app,1km to 2km,DC Charger,Duration of charge.,1km to 3km,3.0,I was helped by another EV user and there seems to be a community spirit among users,Yes,4.0,"Proximity to my destination, Availability of fast charging, Cost of charging, User-friendly interface, Safety and security of the location, Amenities available nearby (e.g., restrooms, shops), Environmental considerations (e.g., renewable energy sources)",more availability,Increase the number of charging stations,I will wait to charge my vehicle when the cost is at its lowest.,Yes,No impact on travel time.,20% - 40%,not sure,I choose charging stations that are conveniently located along my preferred route.,2.0,No impact on my parking habits.,No difference,TS2
Male,25-34,Employed,Master's degree,"£35,001 - £50,000",Yes - children aged under 5 years old,White,Yes,1,Technological interest,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),BMW 3 Series c.,200-300 km,6 months - 1 year,Weekly,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse with dedicated parking,I do not charge at home,1 to 2,Errands,Home,5 to 8 hours,Less than 10km,10 to 20 minutes.,12pm to 6pm,Somewhat flexible (can be a minor detour),1 to 2 times,1 to 3 hours,In-car navigation system,Less than 1km,AC Charger,Cost.,3km to 6km,3.0,"Petrol station, took many hours to get my car charging because of the line in front of me",Yes,2.0,"Proximity to my destination, Amenities available nearby (e.g., restrooms, shops)",They should all have a cafe or something near it,Allow for longer charging sessions,I charge my vehicle when I need to regardless of peak energy usage hours.,Not sure,No impact on travel time.,20% - 40%,"Place where you can do things while its charging, e.g. shopping",I plan my route entirely around charging stations.,3.0,I can park closer to my destination.,Slightly more convenient,NE2
Male,25-34,Employed,Bachelor's degree,"£35,001 - £50,000",Yes - children aged under 5 years old,White,Yes,1,Technological interest,Battery EV (exclusively powered by a rechargeable battery),Toyota Prius,100-200 km,1-3 years,Weekly,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse with dedicated parking,Portable Level 2 charging station,3 to 4,"Work/School, Leisure, Errands",Home,3 to 5 hours,50km to 100km,10 to 20 minutes.,12am to 6am,Somewhat flexible (can be a minor detour),5 to 6 times,1 to 3 hours,In-car navigation system,1km to 2km,DC Charger,Duration of charge.,3km to 6km,2.0,Nothing particularly memorable unfortunately,Yes,4.0,"Proximity to my destination, Availability of fast charging, Safety and security of the location, Amenities available nearby (e.g., restrooms, shops)","More chargers, details online about how many are in use, how long they are booked for etc",Increase the number of charging stations,It is more convenient to charge my vehicle only after ending my trips for the day.,Yes,No impact on travel time.,20% - 40%,Not sure,I choose charging stations that are conveniently located along my preferred route.,3.0,No impact on my parking habits.,Slightly less convenient,TS2
Male,35-44,Employed,Some college,"£50,001 - £70,000",Yes - children aged 11 to 15 years old,White,Yes,1,Cost savings,Battery EV (exclusively powered by a rechargeable battery),Other (please specify),300-400 km,1-3 years,Rarely,Not sure,Single family house/townhouse without dedicated parking,I do not charge at home,3 to 4,"Work/School, Leisure, Errands, Returning Home",Home,More than 8 hours,10km to 30km,10 to 20 minutes.,6am to 12pm,Somewhat flexible (can be a minor detour),1 to 2 times,3 to 6 hours,Mobile app,1km to 2km,DC Charger,Duration of charge.,3km to 6km,2.0,I had a negative experience recently using a public charger. There were 2 DC chargers approximately 3 miles from home and both were out of order. ,Yes,5.0,"Proximity to my destination, Availability of fast charging, Cost of charging, User-friendly interface",Allow you to tap your debit card to begin charging instead of registering and downloading an app,Increase the number of charging stations,I charge my vehicle when I need to regardless of peak energy usage hours.,Yes,No impact on travel time.,20% - 40%,The ability to tap and pay with debit card,I choose charging stations that are conveniently located along my preferred route.,2.0,No impact on my parking habits.,No difference,DH3
Male,45-54,Self-employed,Bachelor's degree,"£35,001 - £50,000",No children aged 18 or under,White,Yes,1,Cost savings,Battery EV (exclusively powered by a rechargeable battery),Nissan Leaf,200-300 km,1-3 years,Weekly,CHAdeMO,Single family house/townhouse with dedicated parking,Standard wall electrical outlet (Level 1),1 to 2,"Work/School, Errands",Home,5 to 8 hours,Less than 10km,< 10 minutes.,6pm to 12am,Not flexible (must be very close to usual routes),1 to 2 times,3 to 6 hours,Mobile app,Less than 1km,AC Charger,Cost.,1km to 3km,4.0,Because Nissan is based in sunderland we have great local access to free charging points in car parks so it is rare that I have ever had to queue to charge my EV,No,4.0,"Proximity to my destination, Cost of charging",While there are many free points locally it would be great if this was adopted further abroad in the area.,Increase the number of charging stations,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Yes,No impact on travel time.,40% - 60%,"Can't think of anything, I am well catered for in my local area.",I only consider charging stations as a backup plan o d. I do not consider charging stations in my route planning.,3.0,No impact on my parking habits.,No difference,SR2
Female,25-34,Employed,Some college,"£50,001 - £70,000",No children aged 18 or under,White,Yes,1,Cost savings,Battery EV (exclusively powered by a rechargeable battery),Tesla Model 3,200-300 km,1-3 years,Monthly,Supercharger (Tesla),Single family house/townhouse with dedicated parking,Standard wall electrical outlet (Level 1),3 to 4,"Work/School, Leisure, Errands",Home,5 to 8 hours,30km to 50km,10 to 20 minutes.,6pm to 12am,Somewhat flexible (can be a minor detour),3 to 4 times,3 to 6 hours,Mobile app,2km to 3km,DC Charger,Duration of charge.,3km to 6km,2.0,Long wait at a charger that was always empty a few months ago. EVs havw increased but charging hasn’t ,Yes,3.0,"Proximity to my destination, Availability of fast charging, Safety and security of the location, Amenities available nearby (e.g., restrooms, shops)",,Increase the number of charging stations,It is more convenient to charge my vehicle only after ending my trips for the day.,Yes,Slightly increases travel time.,20% - 40%,,I choose charging stations that are conveniently located along my preferred route.,2.0,I have to park further from my destination.,Slightly less convenient,NE62
